task,model,label,rows_compared,accuracy,precision,recall,f1,support,predicted_positive,tp,tn,fp,fn
shopping_Amazon_chat,gemma,CE,467,0.828693790149893,0.7619047619047619,1.0,0.8648648648648648,256.0,336.0,256.0,131.0,80.0,0.0
shopping_Amazon_chat,gemma,BE,467,0.8693790149892934,0.8430034129692833,0.9427480916030534,0.8900900900900901,262.0,293.0,247.0,159.0,46.0,15.0
shopping_Amazon_chat,gemma,CI,467,0.9421841541755889,0.0,0.0,0.0,7.0,20.0,0.0,440.0,20.0,7.0
shopping_Amazon_chat,gemma,BI,467,0.9764453961456103,0.0,0.0,0.0,8.0,3.0,0.0,456.0,3.0,8.0
shopping_Amazon_chat,gpt-oss,CE,467,0.8179871520342612,0.77491961414791,0.94140625,0.8500881834215167,256.0,311.0,241.0,141.0,70.0,15.0
shopping_Amazon_chat,gpt-oss,BE,467,0.7687366167023555,0.84375,0.7213740458015268,0.7777777777777778,262.0,224.0,189.0,170.0,35.0,73.0
shopping_Amazon_chat,gpt-oss,CI,467,0.9507494646680942,0.05555555555555555,0.14285714285714285,0.08,7.0,18.0,1.0,443.0,17.0,6.0
shopping_Amazon_chat,gpt-oss,BI,467,0.9828693790149893,0.5,0.125,0.2,8.0,2.0,1.0,458.0,1.0,7.0
shopping_Amazon_chat,mistral,CE,467,0.7430406852248393,0.8119266055045872,0.69140625,0.7468354430379748,256.0,218.0,177.0,170.0,41.0,79.0
shopping_Amazon_chat,mistral,BE,467,0.6809421841541756,0.6388206388206388,0.9923664122137404,0.7772795216741405,262.0,407.0,260.0,58.0,147.0,2.0
shopping_Amazon_chat,mistral,CI,467,0.961456102783726,0.0,0.0,0.0,7.0,11.0,0.0,449.0,11.0,7.0
shopping_Amazon_chat,mistral,BI,467,0.9229122055674518,0.0,0.0,0.0,8.0,28.0,0.0,431.0,28.0,8.0
shopping_Amazon_chat,nemotron,CE,467,0.841541755888651,0.8181818181818182,0.9140625,0.8634686346863468,256.0,286.0,234.0,159.0,52.0,22.0
shopping_Amazon_chat,nemotron,BE,467,0.8308351177730193,0.8351648351648352,0.8702290076335878,0.8523364485981308,262.0,273.0,228.0,160.0,45.0,34.0
shopping_Amazon_chat,nemotron,CI,467,0.8565310492505354,0.045454545454545456,0.42857142857142855,0.0821917808219178,7.0,66.0,3.0,397.0,63.0,4.0
shopping_Amazon_chat,nemotron,BI,467,0.961456102783726,0.0,0.0,0.0,8.0,10.0,0.0,449.0,10.0,8.0
shopping_Amazon_chat,qwen,CE,467,0.8201284796573876,0.7638036809815951,0.97265625,0.8556701030927835,256.0,326.0,249.0,134.0,77.0,7.0
shopping_Amazon_chat,qwen,BE,467,0.8115631691648822,0.9306930693069307,0.7175572519083969,0.8103448275862069,262.0,202.0,188.0,191.0,14.0,74.0
shopping_Amazon_chat,qwen,CI,467,0.9850107066381156,0.0,0.0,0.0,7.0,0.0,0.0,460.0,0.0,7.0
shopping_Amazon_chat,qwen,BI,467,0.9828693790149893,0.0,0.0,0.0,8.0,0.0,0.0,459.0,0.0,8.0
shopping_ebay_chat,gemma,CE,547,0.8555758683729433,0.7896174863387978,0.993127147766323,0.8797564687975646,291.0,366.0,289.0,179.0,77.0,2.0
shopping_ebay_chat,gemma,BE,547,0.8683729433272395,0.8367346938775511,0.9111111111111111,0.8723404255319148,270.0,294.0,246.0,229.0,48.0,24.0
shopping_ebay_chat,gemma,CI,547,0.9707495429616088,0.13333333333333333,0.4,0.2,5.0,15.0,2.0,529.0,13.0,3.0
shopping_ebay_chat,gemma,BI,547,0.9835466179159049,0.0,0.0,0.0,4.0,5.0,0.0,538.0,5.0,4.0
shopping_ebay_chat,gpt-oss,CE,547,0.8482632541133455,0.8023255813953488,0.9484536082474226,0.8692913385826773,291.0,344.0,276.0,188.0,68.0,15.0
shopping_ebay_chat,gpt-oss,BE,547,0.8171846435100548,0.8269230769230769,0.7962962962962963,0.8113207547169811,270.0,260.0,215.0,232.0,45.0,55.0
