dataset,evaluation_family,task,persona,step,sample_id,method,reported_model,prompt_slug,difficulty,case_id,CE_gold,CE_pred,CE_match,BE_gold,BE_pred,BE_match,CI_gold,CI_pred,CI_match,BI_gold,BI_pred,BI_match,exact_labelset_match
trajectory_gold,dummy_judges,shopping_Amazon_chat,Ahmed Hassan,1,,gemma,gemma4:31b,,,,0,0,1,0,0,1,0,0,1,0,0,1,1
trajectory_gold,dummy_judges,shopping_Amazon_chat,Ahmed Hassan,2,,gemma,gemma4:31b,,,,0,0,1,0,0,1,0,0,1,0,0,1,1
trajectory_gold,dummy_judges,shopping_Amazon_chat,Ahmed Hassan,3,,gemma,gemma4:31b,,,,0,1,0,0,1,0,0,0,1,0,0,1,0
trajectory_gold,dummy_judges,shopping_Amazon_chat,Ahmed Hassan,4,,gemma,gemma4:31b,,,,1,1,1,1,1,1,0,0,1,0,0,1,1
trajectory_gold,dummy_judges,shopping_Amazon_chat,Ahmed Hassan,5,,gemma,gemma4:31b,,,,1,1,1,1,1,1,0,0,1,0,0,1,1
trajectory_gold,dummy_judges,shopping_Amazon_chat,Ahmed Hassan,6,,gemma,gemma4:31b,,,,1,1,1,1,1,1,0,0,1,0,0,1,1
trajectory_gold,dummy_judges,shopping_Amazon_chat,Ahmed Hassan,7,,gemma,gemma4:31b,,,,0,1,0,0,1,0,0,0,1,0,0,1,0
trajectory_gold,dummy_judges,shopping_Amazon_chat,Ahmed Hassan,8,,gemma,gemma4:31b,,,,1,1,1,1,1,1,0,0,1,0,0,1,1
trajectory_gold,dummy_judges,shopping_Amazon_chat,Ahmed Hassan,9,,gemma,gemma4:31b,,,,1,1,1,0,0,1,0,0,1,0,0,1,1
trajectory_gold,dummy_judges,shopping_Amazon_chat,Ahmed Hassan,10,,gemma,gemma4:31b,,,,1,1,1,0,0,1,0,0,1,0,0,1,1
trajectory_gold,dummy_judges,shopping_Amazon_chat,Ahmed Hassan,11,,gemma,gemma4:31b,,,,1,1,1,0,1,0,0,0,1,0,0,1,0
trajectory_gold,dummy_judges,shopping_Amazon_chat,Ahmed Hassan,12,,gemma,gemma4:31b,,,,1,1,1,1,1,1,0,0,1,0,0,1,1
trajectory_gold,dummy_judges,shopping_Amazon_chat,Ahmed Hassan,13,,gemma,gemma4:31b,,,,1,1,1,0,1,0,0,0,1,1,0,0,0
trajectory_gold,dummy_judges,shopping_Amazon_chat,Aisha Patel,1,,gemma,gemma4:31b,,,,1,1,1,0,0,1,0,0,1,0,0,1,1
trajectory_gold,dummy_judges,shopping_Amazon_chat,Aisha Patel,2,,gemma,gemma4:31b,,,,1,1,1,0,1,0,0,0,1,0,0,1,0
